task_id	episode_idx	outcome	media	bytes	sha256	original_source_sha256	faststart	lossless_container_remux	full_decode_passed	duration_seconds
BDRSIDE_004	4	success	assets/bowl_drainer_sections/videos/BDRSIDE_004/BDRSIDE_004_ep004_ok.mp4	148596	8d1ac12c339e6acbc48af51ba1b06ccd2b4326aa06d1811437e479096e7bb569	a19c5909ada023eb62ed8d8d03b5e90ca14612d453731ab0df63c88ece68d461	True	True	True	4.0
BDRSIDE_005	0	success	assets/bowl_drainer_sections/videos/BDRSIDE_005/BDRSIDE_005_ep000_ok.mp4	165166	a3ff48df4b7cc5020cc6de85134de0aab5afcb4c919b2c53af2f199936270a94	6fdf4141ccb6a361536fa1d9710e208ca80f783658901c2c676881a7c3a69de9	True	True	True	3.8
BDRSIDE_005	1	success	assets/bowl_drainer_sections/videos/BDRSIDE_005/BDRSIDE_005_ep001_ok.mp4	183540	a066e9405aefd483366b01a5c78b06902c9d16bbf4358aa00d39538ace12eb1c	902b4446ab98722d44ee2ffb981b1978f5deedb7e3b9e94d9be6a0f6ca5980b2	True	True	True	4.4
BDRSIDE_005	2	success	assets/bowl_drainer_sections/videos/BDRSIDE_005/BDRSIDE_005_ep002_ok.mp4	186645	e1674a379cfb5f829f6b8ac29619bcd915e56e08b1addb867ef6124586da7210	0c8d1f8c72a7d8e7565ab337b7f552c91777d31c0f4f009b3868e28fc6879f36	True	True	True	4.6
BDRSIDE_005	3	success	assets/bowl_drainer_sections/videos/BDRSIDE_005/BDRSIDE_005_ep003_ok.mp4	164592	c5eb5bfc26c6a07ff3482b67600c07b04815ad8c181d983b523394ef12b35483	1227d2467421543b176b6f96e80d25642d98fcaa9bca53e3fd93ed75d1b32ab3	True	True	True	3.8
BDRSIDE_005	4	success	assets/bowl_drainer_sections/videos/BDRSIDE_005/BDRSIDE_005_ep004_ok.mp4	172311	ece596c1fe38e49d3d480a465a5d35c90cd8d65ef94b6444713394ef43372382	c307bf9392da3f75f5346ed0816caca4825bc84871d97f16515c4c540b1d0bc8	True	True	True	4.2
BDRSIDE_006	0	success	assets/bowl_drainer_sections/videos/BDRSIDE_006/BDRSIDE_006_ep000_ok.mp4	184517	b0c4b9d3290ce39c40b3a2b9610789d83c5e958fabddb1aa2776a140aff162d0	bc5b7d9d6b80de3d8020cfdf521eb04f598ee34822aaf93acd910a9bc5a6ad5c	True	True	True	4.0
BDRSIDE_006	1	success	assets/bowl_drainer_sections/videos/BDRSIDE_006/BDRSIDE_006_ep001_ok.mp4	185160	f380eacaf29325543125e55c167096bfe9db879e6a8bec1860b377524826e33e	f90a22dc17b4e99a21f938a0813c1961247a98e208ff2dc22cbf97e29e9d1f83	True	True	True	4.6
BDRSIDE_006	2	success	assets/bowl_drainer_sections/videos/BDRSIDE_006/BDRSIDE_006_ep002_ok.mp4	199458	0b6d4ecc934253be68cd5144c25dcd24785c0b5f4b4bdd659c4afa6a163ae6d3	c3dc6908719594448d86eba88947ffdf51390708e920f91e68caefca76887c2d	True	True	True	5.0
BDRSIDE_006	3	success	assets/bowl_drainer_sections/videos/BDRSIDE_006/BDRSIDE_006_ep003_ok.mp4	193008	33f9eaa9c6517cea0a59e9c2653768e2e0fdf1ec090bf502a4e31c3808f672f8	9e03e9d9327a067896de6ba2edefec4d5b19d1cfdc4c3de9771fdd68c4353c03	True	True	True	4.8
